Node,Depth,Value
A5,4,-13
B3,5,-16
A5,4,-13
B4,5,-2
A5,4,-2
B5,5,-2
A5,4,-2
A3,4,-2
B3,3,-2
A4,4,-Infinity
B2,5,3
A4,4,3
B3,5,0
A4,4,3
B4,5,14
A4,4,14
B5,5,14
A4,4,14
B3,3,-2
A5,4,-Infinity
B2,5,3
A5,4,3
B3,5,0
A5,4,3
B4,5,14
A5,4,14
B5,5,14
A5,4,14
B3,3,-2
A2,2,3
B4,3,Infinity
A2,4,-Infinity
B2,5,-Infinity
B2,5,-Infinity
B3,5,-Infinity
B2,5,34
B3,5,34
B3,5,34
B3,5,34
B4,5,37
B3,5,37
B5,5,-Infinity
B2,5,55
B5,5,55
B3,5,55
B5,5,55
B4,5,58
B5,5,58
B5,5,53
B5,5,58
B3,5,58
B2,5,58
B4,5,18
B2,5,58
B5,5,32
B2,5,58
B2,5,58
B3,5,30
B2,5,58
B4,5,17
B2,5,58
B5,5,-Infinity
B2,5,33
B5,5,33
B3,5,49
B5,5,49
B4,5,35
B5,5,49
B5,5,33
B5,5,49
B2,5,58
A2,4,58
B3,5,25
A2,4,58
B4,5,11
A2,4,58
B5,5,25
A2,4,58
B4,3,58
A3,4,Infinity
A2,4,-Infinity
B2,5,-3
A2,4,-3
B3,5,9
A2,4,9
B4,5,-5
A2,4,9
B5,5,9
A2,4,9
A3,4,9
A3,4,-Infinity
B2,5,0
A3,4,0
B3,5,11
A3,4,11
B4,5,-2
A3,4,11
B5,5,-Infinity
B2,5,20
B5,5,20
B3,5,31
B5,5,31
B4,5,-Infinity
B2,5,-Infinity
B2,5,28
B2,5,28
B3,5,48
B2,5,48
B4,5,29
B2,5,48
B5,5,31
B2,5,48
B4,5,48
B3,5,38
B4,5,48
B4,5,19
B4,5,48
B5,5,21
B4,5,48
B5,5,48
B5,5,14
B5,5,48
A3,4,48
A3,4,9
A4,4,-Infinity
B2,5,-13
A4,4,-13
B3,5,-2
A4,4,-2
B4,5,-16
A4,4,-2
B5,5,-2
A4,4,-2
A3,4,-2
A5,4,-Infinity
B2,5,-13
A5,4,-13
B3,5,-2
A5,4,-2
B4,5,-16
A5,4,-2
B5,5,-2
A5,4,-2
A3,4,-2
B4,3,-2
A4,4,-Infinity
B2,5,3
A4,4,3
B3,5,14
A4,4,14
B4,5,0
A4,4,14
B5,5,14
A4,4,14
B4,3,-2
A5,4,-Infinity
B2,5,3
A5,4,3
B3,5,14
A5,4,14
B4,5,0
A5,4,14
B5,5,14
A5,4,14
B4,3,-2
A2,2,3
B5,3,Infinity
A2,4,-Infinity
B2,5,14
A2,4,14
B3,5,25
A2,4,25
B4,5,25
A2,4,25
B5,5,11
A2,4,25
B5,3,25
A3,4,Infinity
A2,4,-Infinity
B2,5,-Infinity
B2,5,-1
B2,5,-1
B3,5,-Infinity
B2,5,20
B3,5,20
B3,5,19
B3,5,20
B4,5,-Infinity
B2,5,43
B4,5,43
B3,5,42
B4,5,43
B4,5,-Infinity
B2,5,46
B4,5,46
B3,5,46
B4,5,46
B4,5,-Infinity
B2,5,47
B4,5,47
